dataset,extra_eigs,knn_mean,knn_std,fc_mean,fc_std,adaptive_mean,adaptive_std,biclique_mean,biclique_std
iris,0,55.14626666667203,3.8474461532252757,83.63513333333843,0.3318550478405814,76.86139999999915,7.948595770583574,54.824333333338984,2.1202284161980494
iris,1,75.17553333333075,12.241840678758166,84.06313333333472,2.324071829519185,76.64233333333279,11.871165360328227,70.6719999999978,11.643997826333067
iris,2,73.7642666666663,9.45221125232846,80.62433333333595,9.480691290762248,72.42806666666708,10.617561394579429,67.38340000000048,13.035474552147303
iris,3,66.00646666666619,11.340067416300222,77.11853333333434,8.580312142864049,63.30246666666658,10.186564215897723,64.92993333333332,9.74478596041136
iris,4,67.18753333333325,10.634508110269408,75.28453333333161,6.721772509647735,63.76733333333331,10.246296262706577,60.858266666666474,9.029215414530164
iris,5,61.076466666667095,9.216703607538088,73.71693333333313,8.528703980431331,60.74773333333336,9.518141679497736,62.568466666666524,10.64763534397597
iris,6,59.825000000000024,8.657257894730296,71.34566666666626,8.968420028708326,58.754600000000096,8.73840777101829,57.55273333333333,7.810383933140012
iris,7,61.986200000000096,9.477366749099593,74.71973333333355,10.107230612342093,61.18560000000002,9.36536475419037,58.648933333333524,7.929406294825537
iris,8,62.77386666666668,9.704256390155573,72.86273333333334,8.5270592848495,57.753200000000234,8.661732767967193,58.25306666666679,7.640274513503189
iris,9,61.988266666666526,9.394654476169201,72.57293333333294,9.39253796225987,57.454,8.77470513531297,56.89333333333312,7.5643454397715875
wine,0,94.60398876403869,0.274661014969223,98.02224719101633,0.28067901557498903,94.56011235955158,0.49175361651360744,87.62825842696184,5.285829685191485
wine,1,91.2524719101213,5.39269161648658,97.42028089887691,2.4205602872561562,92.13140449438575,4.774536807147981,87.49522471910744,6.612169344276455
wine,2,90.58174157302945,6.291251448523096,98.08162921347166,2.1451099287792714,88.65719101123618,7.6504678306816585,83.66994382022924,10.673809003692671
wine,3,86.99067415730508,7.69434137823793,93.70882022471562,3.8081174572359595,86.2004494382026,8.98219156372621,73.35814606741631,11.63647518323083
wine,4,85.71303370786931,8.62510109900118,92.33050561797836,5.138393788806296,84.81359550561545,9.612444336771189,82.04876404494655,10.204672347018857
wine,5,84.29033707865615,8.99512559314054,90.88685393258689,5.8514959302383405,80.21404494382062,12.099676306764447,78.66039325842921,10.767369372825618
wine,6,84.61466292135096,10.038797850862348,89.37943820225266,6.3805633593684865,78.94898876404483,12.225032778913532,75.878988764046,11.559413866011367
wine,7,79.27640449438033,11.540333048573704,89.96898876404796,7.663741798976405,75.92926966292129,12.106570714000865,73.23842696629265,11.613980000532399
wine,8,75.49320224719105,11.834355547878754,88.50016853932527,8.489418706336053,71.98432584269673,12.449102963499241,74.11730337078639,11.867867578715872
wine,9,70.01966292134794,12.069067620087253,88.14640449438456,9.06255424432381,70.07584269662885,11.892505883674284,72.80286516853889,11.69113093372046
seeds,0,93.07961904763043,0.23759426099631656,90.47619047620475,1.4211565311232908e-14,92.77057142857251,1.012887612334141,89.45009523808574,0.8020835498106925
seeds,1,86.58000000000108,5.251723376440734,89.607619047623,3.6881873947808637,83.38638095237842,6.510714764923956,90.88147619047106,7.357440292494283
seeds,2,83.78195238095925,8.3246363965031,88.32947619047151,5.1306235219834875,81.0961428571414,8.648171515338442,77.3062857142883,10.201939623185451
seeds,3,83.13799999999989,7.475189171008745,86.82542857143038,6.812571941015641,80.37104761904766,9.062442315044493,68.16980952381155,9.385183001223266
seeds,4,82.72938095238052,8.14916215676034,83.63195238095201,8.815752225534595,79.04571428571323,8.817973742695292,76.05838095238266,10.328768979314138
seeds,5,83.58885714285633,7.884429888319713,82.43080952380949,9.654052753404658,74.78676190476142,11.454266100200627,71.63119047618913,10.394053482437798
seeds,6,75.93076190476026,11.14342184558138,82.38523809524008,10.112996748444164,70.68647619047604,10.818010087951688,68.30838095238224,10.415485320217574
seeds,7,71.7770476190474,9.951598771886802,80.04328571428827,10.871193454537659,66.84619047619039,10.354504898378664,65.78019047619098,9.658476293759383
seeds,8,68.71647619047607,9.785716013264944,78.76847619047653,10.884647880125236,61.12061904761911,10.046932881438376,62.825952380953,8.541561513849983
seeds,9,63.847000000000534,9.786928983174533,76.7431428571431,10.700180126802485,60.09247619047617,9.624083230401416,59.62109523809506,8.309102304371093
breast_cancer,0,93.73655536027279,0.2602181291706201,63.09314586994439,1.4211565311232908e-14,93.18112478031564,0.6314098182435869,85.588752196842,2.8423130622465817e-14
breast_cancer,1,83.51397188048615,14.861032417901574,62.776344463961095,0.1048413747201122,82.30435852372601,15.335105986223905,87.51240773287732,11.371178688146415
breast_cancer,2,89.99915641477048,2.373851001902642,62.745202108952064,0.02472599924790936,81.53495606326962,12.883203664919774,80.58934973637166,7.381819740924783
breast_cancer,3,84.8563268892749,11.251090088684776,63.34576449912655,0.18225123665051546,82.01671353251318,11.100156070174082,85.11613356766169,7.694523674700994
breast_cancer,4,80.29713532512858,11.142724703473693,63.611634446391314,0.09567311242507076,78.51226713532472,13.033683241002963,72.13242530755782,11.679078016183043
breast_cancer,5,76.69207381371015,11.278805517502805,63.70862917398502,0.1306274806201033,75.54562390158219,11.698970188337569,72.75746924428766,11.130864587262451
breast_cancer,6,74.75884007029916,12.001848735135551,64.96485061511603,0.1859442278165864,74.26590509666046,12.895122566290524,71.05555360281224,11.758969798768081
breast_cancer,7,75.6865905096647,12.140466567504037,65.01750439368254,0.14736881620763795,70.96956063268891,12.1683396397785,71.572425307561,10.869934322824312
breast_cancer,8,71.07420035149231,12.321732608951285,91.56414762742179,2.8423130622465817e-14,68.64532513181005,11.510641813462327,73.83068541300644,11.33284236638534
breast_cancer,9,70.65302284710123,11.990413645478956,91.56414762742179,2.8423130622465817e-14,63.18827768014056,9.904099810228628,70.61826010544846,10.557426262928399
mnist,0,61.116410000000506,3.1465745351144156,55.11094500000001,3.547059785271039,60.66012000000009,3.6469691695999287,29.525740000000397,1.1492821835187983
mnist,1,60.155784999999845,3.12398851057369,52.69502000000081,2.4279068501009826,66.44795999999995,3.998746908230578,33.350489999999674,1.0214649279147556
mnist,2,62.543780000000176,4.258718760395903,52.61515500000016,2.2368124438508237,66.55449500000024,4.546538039628568,37.08853500000014,1.5431166270465317
mnist,3,63.84229000000019,4.705411315226815,54.189229999999796,2.9242954121404603,66.10225999999993,4.466989511061023,33.92732000000047,1.6300953465008943
mnist,4,65.15129999999975,4.686323289381267,53.76168000000019,3.4167330132816063,64.68183999999975,4.846542490457623,34.12069999999936,1.7820557180566012
mnist,5,65.55211500000017,4.685411623857982,54.65393000000002,3.544757690704483,63.76290500000028,4.355432376939632,36.70184999999995,2.365882671981381
mnist,6,64.85159000000007,4.325978892833173,55.198265000000156,3.7757853349024653,62.76969000000012,4.57489942778827,40.90807499999987,2.527982716324699
mnist,7,62.96972000000016,4.410933490206523,55.04686999999996,4.018015075583311,62.6173299999999,4.60934694713122,41.1287600000002,2.580546896421079
mnist,8,62.46151999999977,4.131162843588234,54.62330500000026,3.9934782976581187,62.374330000000015,4.498744760657372,39.67577000000004,2.9028511090919142
mnist,9,62.68442999999995,4.059770159562589,53.872929999999805,4.1331327699155,60.99131500000009,4.629355615430339,39.86489499999991,2.850263547323988
