dataset,r,mean,std,k
CIFAR_raw,,21.818599999999996,0.5116327218867668,5.0
CIFAR_vae,,23.379,0.538515112430273,5.0
CIFAR_simclr,,66.88809999999998,1.8386224219578933,5.0
CIFAR_simclr_pca,,62.60860000000001,2.490879878360466,5.0
FMNIST_raw,,48.853083333333345,1.691058465985172,5.0
FMNIST_vae,,66.44933333333333,0.8791696640840215,5.0
FMNIST_simclr,,37.13116666666667,1.531759403870279,5.0
FMNIST_simclr_pca,,43.93341666666666,2.9065589004547747,5.0
MNIST_raw,,78.732,3.2089094994154306,5.0
MNIST_vae,,92.804,2.4195138944383245,5.0
MNIST_simclr,,60.70625000000001,3.2440631278514585,5.0
MNIST_simclr_pca,,44.767833333333336,1.893622422024249,5.0
CIFAR_raw,,21.4189,0.3348454317411159,10.0
CIFAR_vae,,23.3834,0.2875933532648237,10.0
CIFAR_simclr,,73.24999999999999,2.426722979874842,10.0
CIFAR_simclr_pca,,73.71940000000001,2.605953758122676,10.0
FMNIST_raw,,52.78633333333333,2.656165760962143,10.0
FMNIST_vae,,63.01533333333333,1.3734065301563188,10.0
FMNIST_simclr,,51.347083333333345,3.7341852832354423,10.0
FMNIST_simclr_pca,,50.674083333333336,3.106181842063487,10.0
MNIST_raw,,76.99591666666666,1.2604688484196096,10.0
MNIST_vae,,91.46058333333335,0.002664198419104958,10.0
MNIST_simclr,,79.43966666666667,3.191054455507099,10.0
MNIST_simclr_pca,,62.81341666666667,5.468222993988843,10.0
CIFAR_raw,,21.2582,0.3650360616648572,15.0
CIFAR_vae,,24.765699999999992,0.6310483424638036,15.0
CIFAR_simclr,,73.4746,2.5084829636549983,15.0
CIFAR_simclr_pca,,73.8101,2.9132647972588024,15.0
FMNIST_raw,,53.81191666666666,3.773238145651713,15.0
FMNIST_vae,,60.93208333333333,1.8936553712871518,15.0
FMNIST_simclr,,51.50358333333334,3.615815255713474,15.0
FMNIST_simclr_pca,,51.85883333333334,4.680030992175084,15.0
MNIST_raw,,74.20841666666666,3.8840232229221825,15.0
MNIST_vae,,95.52799999999999,0.0029912152080778737,15.0
MNIST_simclr,,93.16975,4.59095134922335,15.0
MNIST_simclr_pca,,63.52349999999999,2.6322023942783055,15.0
CIFAR_raw,,21.3445,0.37826967545445767,20.0
CIFAR_vae,,24.8093,0.4152945815607098,20.0
CIFAR_simclr,,76.8023,1.2433288551727808,20.0
CIFAR_simclr_pca,,74.0243,2.3766951202745457,20.0
FMNIST_raw,,55.036416666666675,3.181873518268336,20.0
FMNIST_vae,,59.03833333333332,1.0554797141113514,20.0
FMNIST_simclr,,53.71341666666666,2.094819178437813,20.0
FMNIST_simclr_pca,,50.93349999999999,4.711488972005912,20.0
MNIST_raw,,72.96658333333335,4.13291379715067,20.0
MNIST_vae,,95.2455,2.604156321382959,20.0
MNIST_simclr,,90.93666666666664,2.732067582409668,20.0
MNIST_simclr_pca,,61.44041666666666,4.707310287084215,20.0
CIFAR_raw,,21.261600000000005,0.4451174179803266,25.0
CIFAR_vae,,24.519800000000004,0.6733701257969429,25.0
CIFAR_simclr,,77.27499999999996,2.013706349783379,25.0
CIFAR_simclr_pca,,75.8017,1.8315737581596168,25.0
FMNIST_raw,,54.8985,3.503599064320685,25.0
FMNIST_vae,,59.871333333333325,0.8486012915655862,25.0
FMNIST_simclr,,54.314583333333324,1.9894732379752882,25.0
FMNIST_simclr_pca,,50.0655,3.6327991760901353,25.0
MNIST_raw,,70.73508333333334,3.7001796809145158,25.0
MNIST_vae,,95.54616666666666,0.0023005211715628887,25.0
MNIST_simclr,,88.73366666666666,4.332248771158541,25.0
MNIST_simclr_pca,,66.1845,4.309345077851158,25.0
CIFAR_raw,,20.972900000000003,0.38417456284460244,50.0
CIFAR_vae,,25.1811,0.5835832958180813,50.0
CIFAR_simclr,,79.23639999999997,2.394336352399357,50.0
CIFAR_simclr_pca,,75.02179999999998,3.3851915222192783,50.0
FMNIST_raw,,50.83324999999999,3.603549073949539,50.0
FMNIST_vae,,58.59108333333334,1.0133068260325744,50.0
FMNIST_simclr,,57.75624999999999,3.872508626570831,50.0
FMNIST_simclr_pca,,57.840666666666664,3.9940055009376803,50.0
MNIST_raw,,71.2905,3.3102808179318024,50.0
MNIST_vae,,90.0099166666667,2.695177384336873,50.0
MNIST_simclr,,94.37666666666667,5.089194147998617,50.0
MNIST_simclr_pca,,75.15083333333337,4.199533686867446,50.0
CIFAR_raw,,20.884300000000003,0.2576764801472037,100.0
CIFAR_vae,,24.753999999999998,0.14533880562689583,100.0
CIFAR_simclr,,79.4726,0.025506242785885494,100.0
CIFAR_simclr_pca,,78.59890000000001,0.006307055364305055,100.0
FMNIST_raw,,49.388083333333334,2.107266270085709,100.0
FMNIST_vae,,59.03183333333334,0.6001770937478804,100.0
FMNIST_simclr,,56.409666666666666,1.6870117530624258,100.0
FMNIST_simclr_pca,,56.44508333333336,1.3862170824613302,100.0
MNIST_raw,,71.71208333333333,2.807394313050334,100.0
MNIST_vae,,84.64574999999999,6.168401379408231,100.0
MNIST_simclr,,89.4504166666667,7.3895304647701465,100.0
MNIST_simclr_pca,,79.97458333333333,3.9231026208826862,100.0
CIFAR_raw,,20.7595,0.3833101671108215,150.0
CIFAR_vae,,23.5959,0.3524413949043222,150.0
CIFAR_simclr,,77.9585,3.42850004797249,150.0
CIFAR_simclr_pca,,78.3818,0.006925163877979212,150.0
FMNIST_raw,,53.21024999999999,1.8421296373700713,150.0
FMNIST_vae,,57.956833333333336,1.9471725565322333,150.0
FMNIST_simclr,,57.585,1.3674981424450439,150.0
FMNIST_simclr_pca,,57.339749999999995,3.2287942580955993,150.0
MNIST_raw,,70.14891666666668,3.402244798813371,150.0
MNIST_vae,,80.94416666666666,5.615759115079321,150.0
MNIST_simclr,,88.66466666666665,7.339513356877929,150.0
MNIST_simclr_pca,,79.657,3.5716606945451943,150.0
CIFAR_raw,,20.8701,0.4496611472747248,200.0
CIFAR_vae,,24.460600000000003,0.056154298705957215,200.0
CIFAR_simclr,,78.8352,2.0443063319736017,200.0
CIFAR_simclr_pca,,78.22910000000002,0.010532655985327453,200.0
FMNIST_raw,,59.22741666666667,3.8092063944164485,200.0
FMNIST_vae,,58.03166666666667,1.741036190762232,200.0
FMNIST_simclr,,60.24458333333333,2.8618575468427947,200.0
FMNIST_simclr_pca,,58.65741666666666,2.3384521843349844,200.0
MNIST_raw,,62.73916666666668,2.122886461830817,200.0
MNIST_vae,,83.05266666666665,5.9436905807165195,200.0
MNIST_simclr,,89.32783333333332,7.387581291544707,200.0
MNIST_simclr_pca,,86.85158333333332,4.759317315380381,200.0
CIFAR_raw,,21.027300000000004,0.05521355668769417,250.0
CIFAR_vae,,24.576900000000002,0.10432636039699775,250.0
CIFAR_simclr,,79.12079999999999,0.8004683891980142,250.0
CIFAR_simclr_pca,,77.6845,0.9171552987936465,250.0
FMNIST_raw,,61.41766666666668,3.0056405258713546,250.0
FMNIST_vae,,56.727,1.6110549738152846,250.0
FMNIST_simclr,,61.43724999999999,3.2905075807371866,250.0
FMNIST_simclr_pca,,60.729083333333335,3.4520956206305464,250.0
MNIST_raw,,60.213249999999995,3.966053707431847,250.0
MNIST_vae,,80.36333333333334,4.747898858153096,250.0
MNIST_simclr,,96.11608333333336,1.9927092459485614,250.0
MNIST_simclr_pca,,88.72883333333334,6.088049892307718,250.0
CIFAR_raw,,20.9913,0.20482626784668043,300.0
CIFAR_vae,,24.6388,0.28897816344382804,300.0
CIFAR_simclr,,78.201,3.026204257899046,300.0
CIFAR_simclr_pca,,75.76690000000002,2.680825047786989,300.0
FMNIST_raw,,61.65825000000001,1.3234681617425463,300.0
FMNIST_vae,,56.278166666666664,0.741317757472367,300.0
FMNIST_simclr,,61.20291666666667,2.7604320406721827,300.0
FMNIST_simclr_pca,,60.14991666666667,2.3249216471108602,300.0
MNIST_raw,,60.41533333333334,4.3509764515418095,300.0
MNIST_vae,,82.65591666666664,5.6735168728171015,300.0
MNIST_simclr,,96.51291666666665,0.0007404360972045054,300.0
MNIST_simclr_pca,,90.26275000000001,6.383332698341777,300.0
CIFAR_raw,,20.9657,0.27371385365781353,350.0
CIFAR_vae,,24.5084,0.25982309771316275,350.0
CIFAR_simclr,,79.06480000000002,1.7651167726393155,350.0
CIFAR_simclr_pca,,75.82669999999999,2.6410279717126097,350.0
FMNIST_raw,,61.723333333333336,1.506606406961378,350.0
FMNIST_vae,,54.985833333333325,2.317999584992067,350.0
FMNIST_simclr,,60.403666666666666,3.4491891410872433,350.0
FMNIST_simclr_pca,,60.6025,2.458842112085226,350.0
MNIST_raw,,58.66000000000001,4.47646143930045,350.0
MNIST_vae,,81.4865,5.408366134034021,350.0
MNIST_simclr,,96.47333333333334,0.000764719112901177,350.0
MNIST_simclr_pca,,85.56049999999999,4.559447876829003,350.0
CIFAR_raw,,20.6441,0.3148830860728101,400.0
CIFAR_vae,,24.5691,0.27938615043096215,400.0
CIFAR_simclr,,79.7941,1.3803155207567959,400.0
CIFAR_simclr_pca,,76.5541,0.20778579557348023,400.0
FMNIST_raw,,61.59866666666666,1.2810463331208393,400.0
FMNIST_vae,,54.54783333333332,1.887221037826261,400.0
FMNIST_simclr,,61.12875000000001,2.905008020793954,400.0
FMNIST_simclr_pca,,60.74766666666667,2.2120600728917537,400.0
MNIST_raw,,58.607083333333335,4.9716783520220735,400.0
MNIST_vae,,80.18091666666666,4.5321202090391735,400.0
MNIST_simclr,,96.41224999999999,0.0009785715810197765,400.0
MNIST_simclr_pca,,86.07125,5.045158088592358,400.0
CIFAR_raw,,20.506500000000003,0.2317883562762857,450.0
CIFAR_vae,,24.635,0.29806074972447427,450.0
CIFAR_simclr,,79.9877,1.4324395495649709,450.0
CIFAR_simclr_pca,,76.5042,0.004348018302386294,450.0
FMNIST_raw,,61.21891666666666,2.1310104729833927,450.0
FMNIST_vae,,55.30983333333334,1.5862093823573102,450.0
FMNIST_simclr,,62.200666666666656,2.2008494771457334,450.0
FMNIST_simclr_pca,,61.05483333333334,1.5648085191979189,450.0
MNIST_raw,,58.56541666666667,4.216215525238616,450.0
MNIST_vae,,78.92708333333333,5.07194190624187,450.0
MNIST_simclr,,96.35833333333333,0.0,450.0
MNIST_simclr_pca,,91.07233333333336,3.002994674911009,450.0
CIFAR_raw,,20.591699999999996,0.17697014318507936,500.0
CIFAR_vae,,24.4782,0.18567192345073244,500.0
CIFAR_simclr,,79.6436,2.322711718297341,500.0
CIFAR_simclr_pca,,76.20309999999998,0.7733662508118209,500.0
FMNIST_raw,,62.20283333333333,2.0803432648039606,500.0
FMNIST_vae,,53.965166666666654,3.1356265357867206,500.0
FMNIST_simclr,,60.81333333333333,1.831470345304832,500.0
FMNIST_simclr_pca,,60.69991666666666,0.9474165356933917,500.0
MNIST_raw,,57.062416666666664,4.655482414654564,500.0
MNIST_vae,,81.36516666666668,5.742462104654398,500.0
MNIST_simclr,,96.29666666666664,1.4580029302424492e-14,500.0
MNIST_simclr_pca,,94.16375000000002,3.938112390881754,500.0
