dataset,avg_degree,edge_density,n_connected_components,largest_component_size,neighbourhood_purity,graph_build_time,eigensolve_time,k,method,r
iris,1.5345976381872557,0.087248322147651,1,150,0.902744681846075,,0.003222999999707099,5.0,knn,
wine,0.6052747964859009,0.07814384561670792,1,178,0.8982111546556645,,0.0015901249971648213,5.0,knn,
seeds,1.1860730648040771,0.06233766233766234,1,210,0.8716606140677349,,0.0024034579982981086,5.0,knn,
breast_cancer,0.4806908369064331,0.026467239288101192,1,569,0.9262882673624889,,0.007601707999128848,5.0,knn,
mnist,0.37339451909065247,0.007221110555277639,1,2000,0.7674568853280858,,0.0212522080000781,5.0,knn,
iris,1.5345976381872557,0.087248322147651,1,150,0.902744681846075,,0.003222999999707099,10.0,knn,
wine,0.6052747964859009,0.07814384561670792,1,178,0.8982111546556645,,0.0015901249971648213,10.0,knn,
seeds,1.1860730648040771,0.06233766233766234,1,210,0.8716606140677349,,0.0024034579982981086,10.0,knn,
breast_cancer,0.4806908369064331,0.026467239288101192,1,569,0.9262882673624889,,0.007601707999128848,10.0,knn,
mnist,0.37339451909065247,0.007221110555277639,1,2000,0.7674568853280858,,0.0212522080000781,10.0,knn,
iris,2.6144490792033186,0.12769574944071588,1,150,0.8858487266008742,,0.0023729999993520323,15.0,knn,
wine,0.9773604273796082,0.11439090966799975,1,178,0.8847744102859648,,0.0012800410004274454,15.0,knn,
seeds,1.9420340061187744,0.09204830257461837,1,210,0.8618236562715104,,0.0017221249981957953,15.0,knn,
breast_cancer,0.7656319737434387,0.03911606722938687,1,569,0.918702970695543,,0.0037465000023075845,15.0,knn,
mnist,0.5857131481170654,0.010719859929964982,1,2000,0.7325073130550743,,0.020000791999336798,15.0,knn,
iris,3.8775883372300064,0.16939597315436242,1,150,0.8632287534702487,,0.001667041997279739,20.0,knn,
wine,1.3818724155426025,0.15171713324446137,1,178,0.8807384188916617,,0.0011135830027342308,20.0,knn,
seeds,2.7600507736206055,0.12216905901116427,1,210,0.8580288020066472,,0.0016564999968977645,20.0,knn,
breast_cancer,1.0750257968902588,0.0519196019703458,1,569,0.9132271726439373,,0.003255415998864919,20.0,knn,
mnist,0.8042436242103577,0.0141935967983992,1,2000,0.7046408896516534,,0.019096916999842506,20.0,knn,
iris,6.46493842125381,0.2513646532438479,1,150,0.8232643535608406,,0.0011218330000701826,30.0,knn,
wine,2.3603713512420654,0.21938678346981527,1,178,0.8523267114393948,,0.0009521249994577374,30.0,knn,
seeds,4.607604026794434,0.1796308954203691,1,210,0.8393356377346445,,0.0012956669997947756,30.0,knn,
breast_cancer,1.7205305099487305,0.07731008193272111,1,569,0.905023202767098,,0.003181791998940753,30.0,knn,
mnist,1.2438088655471802,0.021228614307153577,1,2000,0.6582450232204599,,0.018531834000896197,30.0,knn,
iris,25.28046516531887,1.0,1,150,0.3288590604026846,,0.0015347910011769272,,fc,
wine,36.414204071742276,1.0,1,178,0.3379673712943566,,0.0019474170003377367,,fc,
seeds,37.433398166442466,1.0,1,210,0.3301435406698565,,0.00276441700043506,,fc,
breast_cancer,107.32817745320003,1.0,1,569,0.531646822941162,,0.022798292000516085,,fc,
mnist,585.4430390826632,1.0,1,2000,0.09954977488744368,,0.6032877919969906,,fc,
iris,0.9931015968322754,0.9932885906040269,1,150,0.325808845051388,,0.0016967080009635538,,adaptive,
wine,0.9935706257820129,0.9921284834634673,1,178,0.3353022467702309,,0.0015960840028128587,,adaptive,
seeds,0.9942069053649902,0.9948963317384371,1,210,0.32771971217730733,,0.003101333000813611,,adaptive,
breast_cancer,0.9990217089653015,0.9705066957102899,1,569,0.5194015914437005,,0.01969979099885677,,adaptive,
mnist,0.9995113015174866,0.9809304652326163,1,2000,0.0978132041406277,,0.6267624590000196,,adaptive,
iris,103.5962513579691,1.0,1,150,0.3288590604026846,,0.0014432089992624242,,biclique,2.0
wine,148.02623981384983,1.0,1,178,0.3379673712943566,,0.002016958002059255,,biclique,2.0
seeds,152.18454412053498,1.0,1,210,0.3301435406698565,,0.002605292000225745,,biclique,2.0
breast_cancer,431.7415594923087,1.0,1,569,0.531646822941162,,0.022504874999867752,,biclique,2.0
mnist,2343.892491772028,1.0,1,2000,0.09954977488744368,,0.5735364579995803,,biclique,2.0
iris,103.5962513579691,1.0,1,150,0.3288590604026846,,0.0014432089992624242,,biclique,4.0
wine,148.02623981384983,1.0,1,178,0.3379673712943566,,0.002016958002059255,,biclique,4.0
seeds,152.18454412053498,1.0,1,210,0.3301435406698565,,0.002605292000225745,,biclique,4.0
breast_cancer,431.7415594923087,1.0,1,569,0.531646822941162,,0.022504874999867752,,biclique,4.0
mnist,2343.892491772028,1.0,1,2000,0.09954977488744368,,0.5735364579995803,,biclique,4.0
iris,234.12256167905278,1.0,1,150,0.3288590604026846,,0.0014702079970447812,,biclique,6.0
wine,334.04629938402917,1.0,1,178,0.3379673712943566,,0.0019384999977773987,,biclique,6.0
seeds,343.4364540440225,1.0,1,210,0.3301435406698565,,0.0025662089974503033,,biclique,6.0
breast_cancer,972.4305295574896,1.0,1,569,0.531646822941162,,0.022950458998820977,,biclique,6.0
mnist,5274.641579587636,1.0,1,2000,0.09954977488744368,,0.5850585830012278,,biclique,6.0
iris,416.85939612857004,1.0,1,150,0.3288590604026846,,0.0013870000002498273,,biclique,8.0
wine,594.4743827822803,1.0,1,178,0.3379673712943566,,0.0019675840012496337,,biclique,8.0
seeds,611.189127936905,1.0,1,210,0.3301435406698565,,0.002654416999575915,,biclique,8.0
breast_cancer,1729.3950876487436,1.0,1,569,0.531646822941162,,0.02367012499962584,,biclique,8.0
mnist,9377.690302529487,1.0,1,2000,0.09954977488744368,,0.6415383749990724,,biclique,8.0
iris,651.8067547065208,1.0,1,150,0.3288590604026846,,0.0013779170003545005,,biclique,10.0
wine,929.3104900086029,1.0,1,178,0.3379673712943566,,0.0019273340003564954,,biclique,10.0
seeds,955.4425657991826,1.0,1,210,0.3301435406698565,,0.0027111659983347636,,biclique,10.0
breast_cancer,2702.6352337660696,1.0,1,569,0.531646822941162,,0.023398291999910725,,biclique,10.0
mnist,14653.038660597582,1.0,1,2000,0.09954977488744368,,0.5931058750029479,,biclique,10.0
iris,938.964637412905,1.0,1,150,0.3288590604026846,,0.001425750000635162,,biclique,12.0
wine,1338.5546210629975,1.0,1,178,0.3379673712943566,,0.0019128749991068617,,biclique,12.0
seeds,1376.196767630855,1.0,1,210,0.3301435406698565,,0.002740124997217208,,biclique,12.0
breast_cancer,3892.1509679094684,1.0,1,569,0.531646822941162,,0.026596708998113172,,biclique,12.0
mnist,21100.68665379192,1.0,1,2000,0.09954977488744368,,0.5816942499986908,,biclique,12.0
iris,1278.3330442477227,1.0,1,150,0.3288590604026846,,0.001401124998665182,,biclique,14.0
wine,1822.2067759454635,1.0,1,178,0.3379673712943566,,0.0019209999991289806,,biclique,14.0
seeds,1873.451733431923,1.0,1,210,0.3301435406698565,,0.0026596249990689103,,biclique,14.0
breast_cancer,5297.942290078939,1.0,1,569,0.531646822941162,,0.023357417001534486,,biclique,14.0
mnist,28720.634282112496,1.0,1,2000,0.09954977488744368,,0.7824662079983682,,biclique,14.0
iris,1669.9119752109737,1.0,1,150,0.3288590604026846,,0.001477457997680176,,biclique,16.0
wine,2380.2669546560014,1.0,1,178,0.3379673712943566,,0.001967958000022918,,biclique,16.0
seeds,2447.2074632023855,1.0,1,210,0.3301435406698565,,0.002807959001074778,,biclique,16.0
breast_cancer,6920.009200274481,1.0,1,569,0.531646822941162,,0.023858291999204084,,biclique,16.0
mnist,37512.881545559314,1.0,1,2000,0.09954977488744368,,0.5808875840011751,,biclique,16.0
iris,2113.701430302659,1.0,1,150,0.3288590604026846,,0.0014472500006377231,,biclique,18.0
wine,3012.735157194611,1.0,1,178,0.3379673712943566,,0.0019509170015226118,,biclique,18.0
seeds,3097.463956942243,1.0,1,210,0.3301435406698565,,0.0026286249994882382,,biclique,18.0
breast_cancer,8758.351698496099,1.0,1,569,0.531646822941162,,0.023310666998440865,,biclique,18.0
mnist,47477.42844413239,1.0,1,2000,0.09954977488744368,,0.5946242079990043,,biclique,18.0
iris,2609.701409522776,1.0,1,150,0.3288590604026846,,0.0014566249992640223,,biclique,20.0
wine,3719.6113835612923,1.0,1,178,0.3379673712943566,,0.0019318330014357343,,biclique,20.0
seeds,3824.221214651495,1.0,1,210,0.3301435406698565,,0.002654791998793371,,biclique,20.0
breast_cancer,10812.969784743786,1.0,1,569,0.531646822941162,,0.02502575000107754,,biclique,20.0
mnist,58614.2749778317,1.0,1,2000,0.09954977488744368,,0.6216109999986656,,biclique,20.0
